Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week
39,2,2010-01-01,15346,0,91.59257637456905,4.325183995435987,168.3778770961233,9.675651125220572,2010,1,53
29,4,2010-01-02,30156,0,34.82432668191477,4.211858462100055,203.76820085536167,7.1194477813566515,2010,1,53
15,6,2010-01-03,19035,0,23.1361199266022,3.254923051568833,221.56581871856167,6.345212254161995,2010,1,53
43,18,2010-01-04,21108,0,32.66835843016507,3.6241049306929147,216.29121827740892,8.708775100669111,2010,1,1
8,6,2010-01-05,7853,0,35.259983303252156,3.424495485033214,207.4726498324436,8.322117750320217,2010,1,1
21,17,2010-01-06,23620,1,60.68033020906873,2.167435610385439,248.62697758262692,7.905854778179332,2010,1,1
39,14,2010-01-07,9176,0,55.99506342024446,2.3968087171918646,169.80339501864867,9.792108546514825,2010,1,1
19,11,2010-01-08,39923,0,77.26995335453668,4.409543286924399,167.29039910694726,7.490646531505286,2010,1,1
23,19,2010-01-09,30920,0,24.076086863493078,2.639921742179183,235.9061210418394,5.490254463520383,2010,1,1
11,2,2010-01-10,11829,0,59.81650011008676,2.9611230402409987,179.08217293685223,4.148596287593353,2010,1,1
11,3,2010-01-11,39654,1,46.59769815387047,3.272360769886268,183.25263771637705,6.720772179290784,2010,1,2
24,11,2010-01-12,44239,0,70.45650656728068,4.447830323483354,204.86681399943322,7.913941343030742,2010,1,2
36,6,2010-01-13,30130,0,23.495977930001473,3.724983765574441,188.1274799286225,5.0328348309641155,2010,1,2
40,14,2010-01-14,13391,1,22.79478471345275,3.573996244325913,178.76404318398696,4.154582428206077,2010,1,2
24,19,2010-01-15,24324,0,54.18012811170372,3.310999931102148,241.71752612473688,9.4545367316302,2010,1,2
3,16,2010-01-16,45667,0,84.90715833612096,3.751686036486393,162.92742129686707,5.8116845670166555,2010,1,2
22,7,2010-01-17,5306,1,73.68752513082197,3.660039726320867,190.42897834049745,6.796296606682395,2010,1,2
2,8,2010-01-18,40843,0,21.336487352925275,4.257102230652455,150.29670587104908,4.546425497142017,2010,1,3
24,19,2010-01-19,35543,0,34.27776753712979,3.3545882634115567,230.74536599657102,6.289679832110295,2010,1,3
44,16,2010-01-20,12244,0,38.13851716139544,3.0537564704762246,166.8418846095949,6.542639817985469,2010,1,3
30,7,2010-01-21,11611,0,53.844714203615574,4.017905070159678,227.29899968158844,9.416467222091814,2010,1,3
38,9,2010-01-22,27706,0,66.93725471374395,3.999458336717046,164.8603114478144,9.19274487030037,2010,1,3
2,13,2010-01-23,24076,0,37.31681391178317,2.4245910950302187,191.67388475176034,5.1340122478598005,2010,1,3
21,1,2010-01-24,38043,0,50.60113795778381,2.591979994641139,222.8184938502916,7.33637335999414,2010,1,3
33,8,2010-01-25,10271,0,66.71547151950114,4.396595653249264,177.08088031748156,8.387486824762789,2010,1,4
12,4,2010-01-26,12331,0,50.674824312131925,3.110273845955962,181.39171256093923,5.75110339620295,2010,1,4
22,3,2010-01-27,16553,0,31.453553710770574,3.2991517413279743,216.7322494776693,6.366597902669138,2010,1,4
44,3,2010-01-28,36340,1,59.33289004305789,2.7754003114495243,168.7700983632263,9.909287727357942,2010,1,4
